"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","お問合せはTimofei Weeまで"
"GymFlyerInner","Underweight?Weak?Tired?","やせ過ぎ？貧相？疲れ気味？"
"GymFlyerInner","JOIN BEST GYM!","最強<br>ジムへ！"
"GymFlyerInner","GET BIG TOWN","ﾑｷﾑｷ ﾀｳﾝ"
"GymFlyerInner","East Grestin","東グレスティン"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","この入国者は書類を持っていません"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","調査モードを使い審問することで、審査を進めることができます。"
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","詳しい手順は本日の公報、<br>第２ページを参照。"
"IdCardInner","ARSTOTZKA IDENTITY CARD","アルストツカ IDカード"
"IdCardInner","DOB","DOB"
"IdCardInner","HT.","HT."
"IdCardInner","WT.","WT."
"IdentityRecordInner","M.O.A. IDENTITY RECORD","入管省 ID記録"
"IdentityRecordInner","NAME:","氏名:"
"IdentityRecordInner","ALIAS:","別名:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","指紋及び氏名（又は別名）は本記録と合致必須。"
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","身分証明<br>補足書"
"IdSupplementInner","HT","身長"
"IdSupplementInner","WT","体重"
"IdSupplementInner","DESCRIPTION","特徴"
"IdSupplementInner","THUMB","拇印"
"IdSupplementInner","Keep on person","常時携帯必須"
"IdSupplementInner","EXP.","期日"
"LocketInnerOpen","To Sergiu from your Elisa","To Sergiu from your Elisa"
"LocketInnerOpen","I Love You Always","I Love You Always"
"LoveSongInner1","YOU","YOU"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","アナタはまるで熱い炎~"
"LoveSongInner2","you","you"
"LoveSongInner2","OBJECT OF DESIRE","ワタシの欲望そのもの~"
"LoveSongInner3","YOU<br>(AGAIN)","YOU<br>(AGAIN)"
"LoveSongInner3","WRAP MY HEART IN WIRE","つかまえてワタシのココロ~"
"LoveSongInner4","ApPROVED","ApPROVED"
"LoveSongInner4","APPROVE MY VISA","ビザを認めてね"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","入国ビザ"
"PassportInnerAntegria","DOB.","DOB."
"PassportInnerAntegria","SEX","SEX"
"PassportInnerAntegria","ISS.","ISS."
"PassportInnerAntegria","EXP.","EXP."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"PassportInnerArstotzka","ENTRY VISA","入国ビザ"
"PassportInnerArstotzka","DOB.","DOB."
"PassportInnerArstotzka","SEX","SEX"
"PassportInnerArstotzka","ISS.","ISS."
"PassportInnerArstotzka","EXP.","EXP."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","入国ビザ"
"PassportInnerImpor","DOB.","DOB."
"PassportInnerImpor","SEX","SEX"
"PassportInnerImpor","ISS.","ISS."
"PassportInnerImpor","EXP.","EXP."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","入国ビザ"
"PassportInnerKolechia","DOB.","DOB."
"PassportInnerKolechia","SEX","SEX"
"PassportInnerKolechia","ISS.","ISS."
"PassportInnerKolechia","EXP.","EXP."
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","入国ビザ"
"PassportInnerObristan","DOB.","DOB."
"PassportInnerObristan","SEX","SEX"
"PassportInnerObristan","ISS.","ISS."
"PassportInnerObristan","EXP.","EXP."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","入国ビザ"
"PassportInnerRepublia","DOB.","DOB."
"PassportInnerRepublia","SEX","SEX"
"PassportInnerRepublia","ISS.","ISS."
"PassportInnerRepublia","EXP.","EXP."
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","入国ビザ"
"PassportInnerUnitedFed","DOB.","DOB."
"PassportInnerUnitedFed","SEX","SEX"
"PassportInnerUnitedFed","ISS.","ISS."
"PassportInnerUnitedFed","EXP.","EXP."
"PassportInnerUnitedFed","UNITED FEDERATION","UNITED FEDERATION"
"PlaqueOneInner","Ministry of Admission","入国管理省"
"PlaqueOneInner","RECOGNITION","表彰"
"PlaqueOneInner","FOR","評価"
"PlaqueOneInner","HANG ON WALL","壁掛可能"
"PlaqueTwoInner","Ministry of Admission","入国管理省"
"PlaqueTwoInner","RECOGNITION","表彰"
"PlaqueTwoInner","FOR","評価"
"PlaqueTwoInner","HANG ON WALL","壁掛可能"
"PoisonInnerBack","OPEN","OPEN"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","粉に触れるな"
"PoisonInnerOpen1","CLOSE","CLOSE"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","パスポートの上に<br>粉を載せろ"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","強く押し貼付"
"PoisonInnerOpen2","CLOSE","CLOSE"
"PoliceBadgeInner","MINISTRY OF INFORMATION","情報省"
"PoliceBadgeInner","Office of Investigation","捜査課"
"PoliceBadgeInner","East Grestin Division","東グレスティン区画"
"PoliceBadgeInner","Special Investigator","特殊捜査官"
"PoliceBadgeInner","MOI","MOI"
"PressPassInner","INTERNATIONAL","国際"
"PressPassInner","PRESS","報道官"
"PressPassInner","IDENTIFICATION","身分証明書"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","特権証明による本国<br>入国は必ず許可せよ"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","<span>ISS.</span>（発行都市）は<br>合致が必須"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","書類には印章が<br>必ず必要"
"RulesInnerHome","Arstotzkan","アルストツカ"
"RulesInnerHome","Ministry<span>of</span>Admission","入国管理省"
"RulesInnerHome","RULES","規則"
"RulesInnerHome","&amp;","及び"
"RulesInnerHome","REGULATIONS","規制"
"RulesInnerHome","for Inspectors","入国審査官用"
"RulesInnerHome","CONTENTS","目次"
"RulesInnerHome","PROPERTY OF","入管省"
"RulesInnerHome","M.O.A","所有蔵書"
"RulesInnerBasic","RULES","規則"
"RulesInnerRegion","DIPLOMATIC SEALS","外交印"
"RulesInnerRegion","PASSPORT","パスポート"
"RulesInnerRegion","ISSUING CITIES","発行都市"
"RulesInnerRegionArstotzka","DISTRICTS","行政区画"
"RulesInnerRegionArstotzka","PASSPORT","パスポート"
"RulesInnerRegionArstotzka","ISSUING CITIES","発行都市"
"RulesInnerBooth","INSPECTOR'S BOOTH","審査官ブース"
"RulesInnerBooth","Shutter","安全扉"
"RulesInnerBooth","Counter","カウンター"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","規則書<br>録音記録<br>公報<br>時刻 &amp; 日付"
"RulesInnerBooth","UPGRADES","アップグレード"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","アップグレードは<br>ありません"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","公式認定済"
"RulesInnerDocs","DOCUMENTS","書類一覧"
"RulesInnerDocs","CONTENTS","目次"
"RulesInnerEntryPermit","ENTRY PERMIT","入国許可証"
"RulesInnerEntryPermit","VALID SEALS","正式印章"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","アルストツカ<br>国民IDカード"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","すべての本国<br>国民に発行"
"RulesInnerIdCard","DISTRICTS","行政区画"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","身分証明<br>補足書"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","すべての<br>外国人に発行"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","外国人の身体的特徴を確認"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","指紋記録が使用できない時に限り拇印を確認"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","本書類は短期間限定で発行されているため、有効期日を慎重に確認"
"RulesInnerAccessPermit","ACCESS PERMIT","入境許可証"
"RulesInnerAccessPermit","VALID SEALS","正式印章"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","本書は入国許可証及び<br>身分証明補足書の<br>代替品である"
"RulesInnerWorkPermit","WORK PASS","労働許可証"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","すべての外国人<br>労働者に発行"
"RulesInnerWorkPermit","VALID SEALS","正式印章"
"RulesInnerDiplomaticAuth","DIPLOMATIC","外交"
"RulesInnerDiplomaticAuth","AUTHORIZATION","特権証明書"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","正式印章は<br>各国ページ参照"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","亡命認可証"
"RulesInnerAsylumGrant","VALID SEALS","正式印章"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","必ず指紋照合せよ"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","ワクチン証明書"
"RulesInnerVaccineCert","MINISTRY","国家"
"RulesInnerVaccineCert","OF","."
"RulesInnerVaccineCert","HEALTH","衛生省"
"RulesInnerVaccineCert","REGULATION DOCUMENT","規制書類"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","全入国者にポリオ<br>ワクチンの接種が必要"
"RulesInnerVaccineCert","NO EXCEPTIONS","例外はない"
"RulesInnerConfiscation","PASSPORT CONFISCATION","パスポート押収"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","押収品引き出しに<br>入れよ"
"RulesInnerConfiscation","POLICY","指針"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","拘束前にパスポートを<br>押収せよ"
"RulesInnerConfiscation","MOI","MOI"
"RulesInnerLast","PROPERTY OF","入管省"
"RulesInnerLast","M.O.A.","所有蔵書"
"RulesInnerLast","GLORY TO ARSTOTZKA","アルストツカに<br>栄光あれ"
"RulesInnerLast","Arstotzkan","アルストツカ"
"RulesInnerLast","Ministry of Admission","入国管理省"
"RulesInnerLast","Rules &amp; Regulations","規則 及び 規制"
"RulesInnerLast","for Inspectors","審査官用"
"RulesInnerLast","1982-1983 Edition","1982-1983 年版"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","流出厳禁<br>違反の場合<br>酷刑に処す"
"RulesTabConfL","CONF.","押収"
"RulesTabConfR","CONF.","押収"
"RulesTabDocsL","DOCS","書類"
"RulesTabDocsR","DOCS","書類"
"RulesTabMapL","MAP","地図"
"RulesTabMapR","MAP","地図"
"RulesTabRulesL","RULES","規則"
"RulesTabRulesR","RULES","規則"
"RulesUpgrade0","TOGGLE INSPECT","調査モード切換"
"RulesUpgrade0","SPACE","SPACE"
"RulesUpgrade1","TOGGLE STAMP BAR","押印バー表示"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","規則書<br>ショートカット"
"RulesUpgrade3","QUICK INSPECT","短縮調査"
"RulesUpgrade3","DOUBLE-CLICK","ダブルクリック"
"SeizureSlipInner","Arstotzka Ministry of Admission","アルストツカ 入国管理省"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","パスポート押収伝票"
"SeizureSlipInner","ENTRY VISA","入国ビザ"
"SeizureSlipInner","Your passport has been seized.","貴方のパスポートは<br>差し押さえられました。"
"SeizureSlipInner","Contact 1509-6103 for redress.","返還の問合せは1509-6103へ"
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","コレチアコガモの<br>交尾行動"
"SpyDocsInnerBack","A FULL REPORT","詳報"
"SpyDocsInnerBack","Ministry of Information","情報省"
"TranscriptInner","AUDIO TRANSCRIPT","録音記録"
"VaccineCertInner","Certificate<span>of</span>Vaccination","ワクチン<span>.</span>接種証明書"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","接種日"
"VaccineCertInner","VACCINE","ワクチン名"
"VaccineCertInner","Vax valid for 3 years","ワクチン有効期間：３年間"
"VisaSlipInner","TEMPORARY VISA SLIP","仮ビザ伝票"
"VisaSlipInner","ENTRY VISA","入国ビザ"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","入国拒否時のみ使用"
"WorkPermitInner","Ministry of Labor","労働省"
"WorkPermitInner","Work Pass","労働許可証"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","本許可証は、記載職種での就労を下記の所持人に限定期間内、認めるものである。"
"WorkPermitInner","HOLDER","氏名"
"WorkPermitInner","FIELD","職種"
"WorkPermitInner","UNTIL","期日"
"WorkPermitInner","Keep this pass with you at all times.","本許可証は常時携帯必須"
"EndNews","Kolechian Consensus Reached Over Grestin","グレスティンに関して<br>コレチア合意"
"ApartmentClass","CLASS","クラス"
"DetainButton","DETAIN","拘束"
"FingerprintButton","FINGERPRINT","指紋"
"SearchButton","SEARCH","検査"
"EmblemsMOA","M.O.A","M.O.A"
"EmblemsMOA","M.O.L","M.O.L"
"EmblemsMOL","M.O.L","M.O.L"
"Filer","CONFISCATED DOCUMENTS","押収書類"
"Filer","PROPERTY OF","PROPERTY OF"
"Filer","M.O.A.","M.O.A."
"GiveIcon","GIVE","渡す"
"LoadButtonNew","NEW","NEW"
"LoadDay","DAY","DAY"
"LoadDrag","DRAG TO SCROLL","ドラッグ　スクロール"
"News","The Truth of Arstotzka","アルストツカの真実"
"News","No Charge","無料"
"ReasonButton","REASON","事由"
"RifleKill","KILL","殺傷用"
"RifleTranq","TRANQ","麻酔用"
"StampBarMid","ALIGN VISA BENEATH STAMP","パスポートをスタンプの下に配置"
"Upgrades","SPACE","SPACE"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","壁掛可能"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","東グレスティン"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","あなたの妄想 すべて叶えます"
"image:PezpertInner.png","capture/PezpertInner.png","capture/PezpertInner.png"
"PezpertInner","STAMP HERE","ここ押して"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","capture/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","壁掛可能"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","capture/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","capture/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","export/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","export/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","export/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","export/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","export/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","export/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","export/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","export/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","export/Shutter.png"
"news:RANDOM_WEATHER","The Weather","気象情報"
"news:RANDOM_SPORTS","Sports","スポーツ"
"news:RANDOM_ENTERTAINMENT","Entertainment","エンタメ"
"news:RANDOM_POLITICS","Politics","政治"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","グレスティン国境検問所 ついに開設！"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","６年の長い月日を経て、入国管理省は安全を保てるか？"
"news:FIRST_DAY","Families To Reunite","家族と再会"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","グレスティン検問所 順調に始動！"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","入国制限緩和へ 外国人も許可"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","アナリスト 景気上昇予測"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","貿易・経済協力の増加予想"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","グレスティン検問所 テロ襲撃！"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","コレチア人運動家に容疑かかる"
"news:FIRST_TERRORISTS","Checkpoint Lockdown","検問所 閉鎖"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","警備強化 - 検査も厳重化"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","闇市場取引 激増"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","入国管理あまさを政府非難"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","検問所 拡大延期"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","就職難 さらに深刻化"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","国民から仕事を奪う移住労働者"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","コレチア国元首 不満表明"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","不当な国境検問による権利侵害を訴える"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","グレスティン国境検問所 再襲撃！"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","自爆テロ犯 警備すり抜ける"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","グレスティン国境 繰り返される襲撃"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","自爆テロ日常化"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","人身売買組織 摘発！"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","グレスティン国境検問所職員、首謀者逮捕"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","グレスティンクラブダンサー遺体で発見！"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","移住間もない少女、人身売買犠牲者に"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","リパブリアの陸上スターに殺人容疑！"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","Vince Lestrade選手 行方不明 - リパブリアから逃亡か"
"news:KILLERATHLETE","Vince Lestrade: Profile","Vince Lestrade容疑者：その人物像"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","嫉妬に狂い交際女性を殺害か？"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","Vince Lestrade容疑者グレスティンで逮捕！"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","陸上の覇者 ようやく反省の色"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","Vince Lestrade容疑者 アルストツカで目撃"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","Vince Lestrade容疑者 コレチアで逮捕！"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","コレチア政府 上級外交官派遣"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","貿易の重要課題 規格化へ"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","コレチア上級官、本国工作員として摘発！"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","任地から失踪、殺害されたと推定"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","コレチア一斉捜索 - 本国工作員一掃"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","勇敢な諜報員ら窮地へ"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","コレチア一斉捜索 - 自らを窮地へ"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","一連の失踪事件、偽証によるものと発覚"
